Автор объявления,Состояние квартиры,Этаж,Жилой фонд,Балкон / лоджия,id,link,Санузел,Планировка,Парковочное место,title,Ливинг,Тип,Жилая площадь,Тип здания,Количество этажей,Площадь кухни,Застройщик,price,Адрес,Высота потолков,Количество комнат,Общая площадь
Агентство,Eвроремонт,4,Новострой,1,102961740,https://999.md/ru/102961740?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5NjE3NDAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWZkYmIzYTUtZTRiNi00ZDk0LTg3M2UtYTE3N2E2NjNjOGFlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo0NzozMC40MDY2MTU1ODFaIn19.bpDQg7A-jNYI__So7XGHOeu0JODg03-gzW-CFUiOAvw&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,1,,Oткрытое,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,Продам,,Kотельцовый,8,,Astercon,99 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/D",,1-комнатная квартира,40 м²
Застройщик,Белый вариант,3,Новострой,1,101405369,https://999.md/ru/101405369?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE0MDUzNjkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDNjZjA0MjUtMjRhYi00NDZiLWI4NjctNDg1ODllZTk0ODk2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjY2MDA5WiJ9fQ.tmpMR0FzTvdZZPXULn6vEXdsFMA7Ht9bhQ-M4W2IEGU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,2,Индивидуальная,Гараж,"3-х комнатная квартира,  Автовокзал,  Бельцы,  Бельцы мун.",Квартира с ливингом,,80 м²,Kирпичный,8,,,88 000 €,Расположение,300 см,3-х комнатная квартира,80 м²
Частное лицо,Косметический pемонт,7,Вторичный,,103600883,https://999.md/ru/103600883?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2MDA4ODMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiMWVhNzVlYTQtNmVhZS00NWI5LTk0Y2MtOWJhNGZhMTM4OGE3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjc2NDM5N1oifX0.4fGOF-Pnt6ccRphsVOUUif5Cn2Le1ukGPLQKe_ATmsg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Сдаю помесячно,,,8,,,500 €,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 76/2",,3-х комнатная квартира,73 м²
Частное лицо,Белый вариант,11,Новострой,,104068758,https://999.md/ru/104068758?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjg3NTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjU2ZWEyNmQtY2VjNC00ODIyLWIxOGUtNmUyODAzMGYyMWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjc4OTAxOFoifX0.Q4ZjzrCtKIUXujbSlwSAe_xMgKsrZsVB6Tws_CpL04g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,1,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Продам,,,16,,Inamstro,85 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",,2-х комнатная квартира,52 м²
Частное лицо,Eвроремонт,2,Новострой,1,104018272,https://999.md/ru/104018272?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMTgyNzIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZDkyOGQ1YzctYWVjOS00M2M2LThhYjEtNDBiYWI0M2YzNDEzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjg0OTk1NloifX0.t7hQbJu6amx3oh2Vu85CQnJMLHoEU25-Ql2Q0QSnqHE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,1,,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,5,,,90 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Movileni, 26",,2-х комнатная квартира,50 м²
Застройщик,Белый вариант,1,Новострой,Нет,102832078,https://999.md/ru/102832078?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzIwNzgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTI6NDc6MzAuNDA2ODg5NzE4WiJ9fQ.emTrD3SrD7E1tj12EWAgyFqIQdGC-lJwFw_UvXu8OaQ&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,2,,Гараж,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Продам,,Ячеистый Бетон,6,15 м²,Astercon,135 646 €,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",286 см,3-х комнатная квартира,96 м²
Агентство,Eвроремонт,3,Новострой,1,100999053,https://999.md/ru/100999053?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA5OTkwNTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjFjYmY5MDM3LTg0OTctNGRkZS1hNDQ4LWY5YmNjMThkZThmZSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTI6NDc6MzAuNDA2MjM5OTIyWiJ9fQ.Xq_nQ_tEHcI3G3fGpcYcfUmLh-KnBDzIMU1CqzRuJ6Q&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,1,,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Сдаю посуточно,,,9,,,600 MDL,"Кишинёв мун., Кишинёв, Центр, str. Cornești, 13",,2-х комнатная квартира,60 м²
Частное лицо,Белый вариант,2,Новострой,1,101792106,https://999.md/ru/101792106?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTIxMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGI4NDEzNjMtZTE5Yy00YWFjLTg5NmEtM2ZjZmM5MjBiNTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo0NzozMC40MDYzMzE0MjlaIn19.eD2aTW3Wtp3NmadocpfBv6iJoLipw3SL1YShfIqtC2s&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,1,,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,Lagmar Impex,77 000 €,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",,1-комнатная квартира,56 м²
Частное лицо,,11,Новострой,,103257382,https://999.md/ru/103257382?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNTczODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMDA4ZjI4ZjktMzliNC00NTZkLWFjMzItYWM4NTIyMTU3ZDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjM3NDczOFoifX0.uP7m7PIQ8VfXeMjU3ZrSRE6QXVWd4virkAMMAO6Lusg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,Продам,,,15,,,108 000 €,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, 3/10",,1-комнатная квартира,43 м²
Застройщик,Незавершенное cтроительство,1,Новострой,1,101794768,https://999.md/ru/101794768?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ3NjgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTI6NDc6MzAuNDA2NDAwNzJaIn19.fQ5q9kbHhNFd5U2fQjEyHLyT0_gEz14iRDJCBgZRW8E&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,2,,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,Solomon Construct Imobil,77 030 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",290 см,2-х комнатная квартира,72 м²
Частное лицо,Eвроремонт,1,Новострой,1,102150507,https://999.md/ru/102150507?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxNTA1MDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODJjNjRjNmMtOWM5Ny00M2Y5LWFjZTUtNmU4MzMwZTUxYTk5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo0NzozMC40MDY0NzkyNjNaIn19.Run1JpKiyG01AHS41EXjXm3eNRx94mvtkcdSi57vJpI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,1,Индивидуальная,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Kомбинированный,9,,Volare Tur,109 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 120/3",290 см,1-комнатная квартира,44 м²
Частное лицо,Индивидуальный дизайн,9,Новострой,2,101500097,https://999.md/ru/101500097?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE1MDAwOTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjczNDRiMjgtNDQwMi00NTA0LWJhYWQtZmEyOWY1YzQ4Zjc3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjU5MTk4NFoifX0.zPGt_DHhbGI2916BtyNWyT_iDeanmGQDQiAOTJijIC8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,2,,Подземная,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Kирпичный,11,,Exfactor-grup,189 000 €,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба Юлия, 77/5",,3-х комнатная квартира,92 м²
