Балкон / лоджия,Планировка,Застройщик,link,Площадь кухни,Ливинг,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,,https://999.md/ru/104041242?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNDEyNDIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTlmMWIxNDctNDU2NC00NjNlLWE2YWUtZDQ3ZDhlY2FlYzZjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjMwMjkwNVoifX0.79Q2-hfNuWMSqyZzoOcJr65q6_EfxNGeUv51BPQJNYE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,,,5,,,15 000 €,5,65 м²,Расположение,104041242,Вторичный,Блочный,,"3-х комнатная квартира,  Центр,  Бессарабка,  Бессарабка",Продам,Частное лицо,3-х комнатная квартира,Без ремонта
,,Lagmar Impex,https://999.md/ru/103723243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MjMyNDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTc6Mzc6MDguNDA2MzI5MTIyWiJ9fQ.AJ-7xwHfECJ3aykEIJxxHPyHTG10_Wlm1jm0B_9MA4s&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,,Квартира с ливингом,Oткрытое,10,1,,127 000 €,12,41 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 17",103723243,Новострой,,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,
1,Индивидуальная,Sky House,https://999.md/ru/104067527?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjc1MjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTRkNjVjMmQtOTY0NS00M2M0LTliNzUtZmEyNzI2ZmIyNjFiIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjQyMDA3OVoifX0.tIcyVA__8S-DRC-NgxY8qQB0VDnRbGJ1bBQczzk-eGA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,39 м²,,Oткрытое,5,1,220 см,50 000 €,12,39 м²,"Кишинёв мун., Кишинёв, Ботаника, Cetatea Albă nr 11/G, Noua",104067527,Новострой,Ячеистый Бетон,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Белый вариант
,,,https://999.md/ru/103348118?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNDgxMTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjQ0MzE1NloifX0.1wFz9Mbbo3hS83hVNLLMBigmhbYvt2A9u4gywKTy7DY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,7,,,139 900 €,17,86 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 19/2",103348118,Новострой,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
,Индивидуальная,Inamstro,https://999.md/ru/89697488?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTY5NzQ4OCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiIyNTQ3ZWNjMi1hZjQxLTRhZjAtOTVlYi00YjBlMjg0Zjc3N2EiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjQ2NDczOFoifX0.g7YJOyoqPQL01QLkw4mvsVv3YVakt_guqGflvqdNEho&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,Квартира с ливингом,,2,2,,245 000 €,8,100 м²,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32",89697488,Новострой,Kирпичный,100 м²,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Индивидуальный дизайн
1,,,https://999.md/ru/83170557?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MzE3MDU1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiMzAyOGJmOTAtM2Q3Yi00NjBjLWJlY2ItMzM2MzA1ZjdjZjA1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjUzMzcxOFoifX0.VajmiQxVoXjNvyx9AmWWNq0aFFiRbKEq0svkg4VcPmc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,Oткрытое,6,1,,550 €,9,65 м²,Расположение,83170557,Новострой,Kомбинированный,57 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Агентство,1-комнатная квартира,Индивидуальный дизайн
1,,,https://999.md/ru/104085313?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODUzMTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYjU3ODg3YmYtYmI0OC00ZGFhLWE1ZmYtMmEwZjBhNDBkZmJiIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNTk5ODEyN1oifX0.eJc0F_MlbyuASYPdQBnRl8eGwhCBXrxukO5zSVoRT1k&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,,,5,1,,66 500 €,9,35 м²,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 20",104085313,Вторичный,Панельный,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,1-комнатная квартира,Косметический pемонт
,,,https://999.md/ru/89795411?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTc5NTQxMSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiMWNiZjkwMzctODQ5Ny00ZGRlLWE0NDgtZjliY2MxOGRlOGZlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjAzODY1M1oifX0.hGKDyanQmGiMZywk5InOuXb8tV2B1il8hdcAyBjEGfE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,Квартира с ливингом,,7,,,600 MDL,9,45 м²,"Кишинёв мун., Кишинёв, Центр, str. Cojocarilor, 20",89795411,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,2-х комнатная квартира,
3,,,https://999.md/ru/104059792?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTk3OTIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzc5YjdmMzQtMjM4MC00YzNhLWFhNzEtNTRkN2RkZjUxMzMxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowOC40MDYwODQwODJaIn19.dKPU6gkyr9bTbX_Et2wroapfAQjAlzspaKKLWMHWJ0Q&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,Квартира с ливингом,Oткрытое,12,,,145 000 €,16,82 м²,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 26",104059792,Новострой,Бетон,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
,,Exfactor-grup,https://999.md/ru/104096968?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTY5NjgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTU4MzhjMjQtMTk2MS00Y2FlLWJhYzUtM2ZiY2RmYmVhNDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowOC40MDYxNTU4MzRaIn19.kSaZDBdldASDlnfoLvCJGq00mn9EWPeMXwtN-rQRLfw&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,,Квартира с ливингом,,8,,,124 500 €,11,71 м²,Расположение,104096968,Новострой,Kирпичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Белый вариант
1,,,https://999.md/ru/103813956?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MTM5NTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiMjc5M2U0MjAtMWQ4Ny00OWQ3LWFjOGItZjE3ZjQwN2E3Yzc3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowOC40MDYyMzUwNTVaIn19.y0YPOsDck6R2GIRtLrzF-mTPFF4otke7vpsiDEtbva4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,,2,1,,137 000 €,11,55 м²,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 35/E",103813956,Новострой,,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Косметический pемонт
,,,https://999.md/ru/104095430?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTU0MzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNjI3YjBkMTUtZTk4YS00NWEwLThkMzgtYTE1N2MyZTdjNDhmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjI3OTg4MVoifX0.G9RH4QPy8oW6I8m9CYPrwLx3BxENEpJjh1l7NCUrjz8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,Oткрытое,2,1,,91 000 €,10,61 м²,"Бельцы мун., Бельцы, БАМ, str. Ivan Conev, 34",104095430,Новострой,,61 м²,"2-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/104041242?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNDEyNDIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTlmMWIxNDctNDU2NC00NjNlLWE2YWUtZDQ3ZDhlY2FlYzZjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjMwMjkwNVoifX0.79Q2-hfNuWMSqyZzoOcJr65q6_EfxNGeUv51BPQJNYE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,,,5,,,15 000 €,5,65 м²,Расположение,104041242,Вторичный,Блочный,,"3-х комнатная квартира,  Центр,  Бессарабка,  Бессарабка",Продам,Частное лицо,3-х комнатная квартира,Без ремонта
