Балкон / лоджия,Планировка,Ливинг,link,Застройщик,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,На земле,,https://999.md/ru/61721508?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI2MTcyMTUwOCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJhMTlmNzk3Yi1mMjE5LTQ2YmYtOWU2ZS03OWY2YTBmNDJjYzgiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE3OjU4OjIzLjEyOTc4MTg2WiJ9fQ.Zmk1nCeuyC0W3yfIS6_EHnV-3k_rub51XzrS2HE4cq4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,,Oткрытое,1,1,,600 MDL,1,25 м²,"Кишинёв мун., Кишинёв, Центр, str. Alexandru Hâjdeu, 50",61721508,Новострой,Kотельцовый,,"1-комнатная квартира, 25 м², Центр, Кишинёв",Сдаю посуточно,Застройщик,1-комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103522826?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1MjI4MjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTFlNTNmZWQtMzI5MS00ODgzLTliN2YtMDAwMGU2NGNlZWJhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk4NDI4NzhaIn19.30bqF-AFfWAgC3YsgqBuxgrBHS0iRaYtddIEk8aGxWk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,,,,1,,,22 000 €,3,42 м²,"Резина, Резина, Центр, str. Păcii, 53",103522826,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Центр,  Резина,  Резина",Продам,Частное лицо,2-х комнатная квартира,Косметический pемонт
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/103674939?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NzQ5MzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNzY1MGUwNGEtZWM5YS00NDkwLWJiOTEtYjYxYjFkMGNiZTM3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk4OTgzOTRaIn19.AlZLTLM86KIMbbFOpDNnrVivdJYpizCQatxNP743b9Q&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,Exfactor-grup,18 м²,Oткрытое,13,1,275 см,2 700 €,15,92 м²,"Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/B",103674939,Новострой,Kомбинированный,74 м²,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Индивидуальный дизайн
,,Квартира с ливингом,https://999.md/ru/104092667?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTI2NjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNWMwZWRhN2ItOTYzOC00ODQ1LTk2Y2EtOWU0ZmY0YmM1YzFlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjU4OjIzLjEyOTkzNjcwM1oifX0.lXijqEGzfA-HjYJ1avE1RWMUrkkGOhubWHrdG579dmY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,Oткрытое,9,1,,110 000 €,16,50 м²,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 16/1",104092667,Вторичный,,50 м²,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/103996333?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5OTYzMzMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWZkMDQ3MjQtOTM1Zi00YjAxLTk4MGEtM2UyZDBiODc4ODEwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk5NjAwMzhaIn19.nZ95tbQ_5Qln7TrnjK5cbMJD2EwoVYLZ4rah2inrFrk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,Oткрытое,2,1,,82 900 €,2,90 м²,"Кишинёв мун., Кишинёв, Центр, ул. Поштей, 92",103996333,Вторичный,Kотельцовый,73 м²,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/104046248?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNDYyNDgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOTg2OGUwNWYtYzc2Yy00M2Q0LWE2OWMtN2I4NGNmYjU3MDE0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjU4OjIzLjEyOTk5MjI4OVoifX0.wtLOjlOVLtDbR8h4kCfNokd3nLhJkjaofMItwkFQsyY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,,5,,,95 900 €,8,42 м²,Расположение,104046248,Новострой,,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,
Нет,Гостинка,Квартира без ливинга,https://999.md/ru/103654582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NTQ1ODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjVhOGYzYTctZDNmMC00MjdlLThjNjktMTQwYzI1YmMwZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjU4OjIzLjEyOTQ0NTkyM1oifX0.-lliCFAuDppKkqGP1UMh4fZ66xfW6PLDzeW9phcdO-o&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,,Oткрытое,8,1,,66 500 €,13,35 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Socoleni, 23",103654582,Вторичный,Mонолитный,20 м²,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Сдан в эксплуатацию
2,,Квартира с ливингом,https://999.md/ru/81834115?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MTgzNDExNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmI3NDhhYTQtM2I5Zi00NDgwLWI1NjctOTVmOTJlYTViMDI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk1NDIxMzRaIn19.f2UxpLQHcUpDRhqJPVmphfyfV4z8nHndP91T7Y37JnI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,,Oткрытое,8,2,270 см,160 000 €,9,146 м²,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/4",81834115,Новострой,Kомбинированный,,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,4-x комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/104101728?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDE3MjgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjFiYmE3ZjUtM2Y4ZC00OTBjLWE5ZWUtZmNjZGI2MGI5YjE0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk1NjcyODhaIn19.VRe9C9Yi9Y57SORkoQ7zBzZGT65a8dYRUx7Bc_bUmdw&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,Exfactor-grup,,Подземная,9,2,,192 000 €,13,75 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",104101728,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/103653486?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NTM0ODYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiOGU1NzM4MDAtNjY4Mi00OWY2LTgxZjctNDk3ODBiMWNlMzcwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk1OTA1NDdaIn19.C_lfR0c52TNl1H2111XeaUA8KAw62eGSxvtFGZGaH1I&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,Astercon,,,6,,,153 900 €,9,75 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/D",103653486,Новострой,Kотельцовый,75 м²,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/104069607?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjk2MDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTU4MzhjMjQtMTk2MS00Y2FlLWJhYzUtM2ZiY2RmYmVhNDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk3MTQyODVaIn19.XpVBI5PnodwQ5aiIICKDNxl8WFNv5lbbGoYuq_97Li0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,Exfactor-grup,,,8,,,189 000 €,10,65 м²,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/F",104069607,Новострой,Kирпичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103672669?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NzI2NjkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiZWQwMzE0OTctMTA4Ny00ZWE2LTk1ZjYtM2U4ZGRiZTQyYWQwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1ODoyMy4xMjk3NTY4MDNaIn19.5fCCuPkjBs2OILMpVICDtyx5fF1GAjTnwcePBRu0kj8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,,5,,,600 MDL,10,35 м²,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",103672669,Новострой,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,1-комнатная квартира,
